np,empresa,taller,cantidad,precio_unit,monto_total,f_salida_taller,f_estimada_pago,mes_pago,estado
2067,,READY FAMILI,50,5500,275000,12/05/2026,22/05/2026,Mayo 2026,🔵 Confección
2067,,READY FAMILI,40,5500,220000,12/05/2026,22/05/2026,Mayo 2026,🔵 Confección
2067,,READY FAMILI,150,5500,825000,12/05/2026,22/05/2026,Mayo 2026,🔵 Confección
2173,PUCOBRE,EULALI,10,6000,60000,16/06/2026,26/06/2026,Junio 2026,🟢 Avance 70%
2201,SIERRA GORDA,PASTOR CACHI,8,8500,68000,22/06/2026,02/07/2026,Julio 2026,🔴 Avance 30%
2201,SIERRA GORDA,PASTOR CACHI,15,8500,127500,22/06/2026,02/07/2026,Julio 2026,🔴 Avance 30%
2201,SIERRA GORDA,PASTOR CACHI,15,8500,127500,22/06/2026,02/07/2026,Julio 2026,🔴 Avance 30%
2199,ATACAMA KOZAN,BONIFACIO,40,8500,340000,24/06/2026,04/07/2026,Julio 2026,🟡 Avance 50%
2199,ATACAMA KOZAN,BONIFACIO,30,8500,255000,24/06/2026,04/07/2026,Julio 2026,🟡 Avance 50%
2199,ATACAMA KOZAN,BONIFACIO,10,8500,85000,24/06/2026,04/07/2026,Julio 2026,🟡 Avance 50%
2199,ATACAMA KOZAN,BONIFACIO,20,8500,170000,24/06/2026,04/07/2026,Julio 2026,🟡 Avance 50%
2199,ATACAMA KOZAN,BONIFACIO,20,8500,170000,24/06/2026,04/07/2026,Julio 2026,🟡 Avance 50%
2083,SIERRA GORDA,CHIPANA,150,5500,825000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,EULALI,20,5500,110000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,GERMAN CHOQUE,200,5500,1100000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,MARCO CACHI,100,5500,550000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,MARGARITA,200,5500,1100000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,OLGA CALIZAYA,150,5500,825000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,READY FAMI,100,5500,550000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,ROEL,40,8500,340000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,ROEL,40,8500,340000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,ROEL,30,8500,255000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,ROEL,30,8500,255000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,ROEL,10,8500,85000,26/06/2026,06/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,BONIFACIO,50,5500,275000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2213,ATACAMA KOZAN,EULALI,10,5500,55000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2199,ATACAMA KOZAN,EULALIA,10,5500,55000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2199,ATACAMA KOZAN,EULALIA,5,5500,27500,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,50,5500,275000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,50,5500,275000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,20,5500,110000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,20,5500,110000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,10,5500,55000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
2083,SIERRA GORDA,JOSE LUIS NINA,10,5500,55000,Por definir,10/07/2026,Julio 2026,🔴 Avance 30%
  Leyenda colores:   🔴 Avance 30%   🟡 Avance 50%   🟢 Avance 70%   🔵 Confección   |   (*) Fecha estimada pago sin fecha salida = fin de mes hoja + 10 días,,,0,0,0,,,,
