mes,monto_total,n_ordenes,talleres,precio_prom,pct_total,acumulado
Mayo 2025,21853500,47,14,8180.85,0.130199,21853500
Junio 2025,14197900,57,14,7291.23,0.084588,36051400
Julio 2025,19635998,45,18,7266.62,0.116987,55687398
Agosto 2025,15357500,45,20,6020.0,0.091497,71044898
Octubre 2025,9480800,38,12,7028.95,0.056485,80525698
Noviembre 2025,5126300,34,9,7047.06,0.030541,85651998
Diciembre 2025,7347400,26,8,6800.0,0.043774,92999398
Enero 2026,21431400,73,22,6835.62,0.127684,114430798
Febrero 2026,10914000,55,7,6100.0,0.065023,125344798
Marzo 2026,16026000,48,13,5843.75,0.09548,141370798
Abril 2026,13497500,36,12,6750.0,0.080415,154868298
Mayo 2026,2800000,15,5,6866.67,0.016682,157668298
Junio 2026,5760500,18,6,5666.67,0.03432,163428798
